Math,Biology,Physics,Chemistry,English,Digital_Technology,Critical_Thinking,Linguistic_Competencies,Holy_Quran,Ecology,Vocational_Education,Social_Studies,Hadith,Physical_Health,Financial_Literacy,Statistics,GPA,Grade_Level,Attendance_Behavior,Interest,Suggested_Major
67,89,77,78,77,77,66,69,86,51,71,74,65,80,82,56,69.63,1,Excellent,Scientific Research,الأحياء
80,51,88,53,76,70,94,91,77,70,61,71,85,52,56,85,67.92,1,Excellent,Robotics,القانون
90,60,70,86,92,53,90,87,86,85,58,87,76,56,81,75,75.42,3,Excellent,Business,التسويق
96,82,87,85,61,83,75,83,73,80,52,89,82,67,52,87,79.53,2,Good,Engineering,الهندسة الكهربائية
88,93,71,60,93,52,76,82,72,67,53,94,63,51,83,55,75.93,3,Good,Healthcare,الصحة العامة
70,89,85,88,94,68,85,57,55,50,74,85,82,53,64,68,77.14,1,Excellent,Healthcare,الصحة العامة
81,93,73,97,76,64,69,85,87,60,62,80,56,58,83,67,72.86,1,Good,Scientific Research,الصيدلة
89,60,78,51,87,88,97,70,43,77,84,84,59,90,55,75,79.64,2,Excellent,Programming,الأمن السيبراني
90,69,90,89,88,81,84,83,88,60,70,64,75,56,58,86,76.01,3,Excellent,Healthcare,الهندسة المعمارية
75,56,81,63,84,81,93,87,87,68,52,74,78,83,88,64,73.33,3,Excellent,Business,نظم المعلومات الإدارية
87,68,96,64,79,99,91,53,77,70,86,52,70,77,67,63,73.65,1,Good,Programming,هندسة الحاسب
82,68,52,56,62,90,95,79,91,64,58,77,100,79,54,58,77.57,1,Excellent,Islamic Studies,الشريعة
87,90,77,75,79,81,94,47,67,66,76,58,72,81,53,85,69.78,2,Good,Data Analysis,علم البيانات
82,63,52,51,91,94,76,87,63,83,81,66,52,73,90,61,75.46,1,Excellent,Cybersecurity,تقنية المعلومات
80,53,67,52,65,85,88,86,93,75,58,72,98,52,67,61,72.16,1,Excellent,Islamic Studies,الشريعة
91,74,86,74,91,96,86,80,78,63,64,88,59,63,68,84,76.29,3,Average,Data Analysis,الذكاء الاصطناعي
99,48,92,90,86,73,87,76,83,62,76,89,67,64,69,88,83.12,2,Excellent,Scientific Research,الفيزياء
96,86,76,52,95,96,90,53,90,84,69,66,80,62,56,90,82.16,3,Average,Cybersecurity,الذكاء الاصطناعي
98,88,92,67,90,97,94,78,86,88,85,65,85,52,71,90,82.57,3,Excellent,AI,علوم الحاسب
72,89,85,93,89,67,83,86,72,84,65,59,82,56,72,54,75.46,2,Good,Healthcare,التمريض
90,57,55,52,83,83,95,61,56,63,88,64,84,56,77,97,74.95,3,Excellent,Data Analysis,علم البيانات
85,86,89,51,81,87,95,81,72,72,46,79,59,55,78,80,79.67,1,Excellent,Engineering,علوم الحاسب
51,74,71,56,93,53,89,80,55,51,56,90,73,59,91,55,68.97,2,Excellent,Business,إدارة الأعمال
100,87,77,70,80,92,97,84,54,56,63,86,84,51,69,62,79.86,3,Excellent,Cybersecurity,الأمن السيبراني
55,89,80,58,94,75,85,86,69,52,51,76,79,83,79,71,73.84,3,Weak,Law,القانون
94,70,77,60,82,89,89,74,86,68,82,72,61,52,58,70,75.7,3,Excellent,Cybersecurity,الأمن السيبراني
92,55,90,81,78,96,93,51,81,88,52,79,56,62,54,73,77.49,3,Excellent,Cybersecurity,الأمن السيبراني
84,75,90,69,91,90,87,60,52,83,61,79,61,74,51,83,79.52,3,Good,Cybersecurity,الذكاء الاصطناعي
86,61,89,79,98,89,92,67,67,81,80,47,89,88,72,57,80.68,2,Excellent,Programming,هندسة البرمجيات
88,89,91,80,74,57,94,90,78,90,67,71,72,53,65,73,77.17,2,Good,Engineering,الهندسة الميكانيكية
52,93,64,96,84,59,90,85,88,89,86,60,89,57,57,56,71.09,3,Good,Healthcare,طب الأسنان
90,68,86,74,65,83,85,60,51,61,62,58,50,83,78,73,75.01,3,Good,Engineering,الهندسة الكهربائية
75,99,86,81,91,62,80,52,82,85,70,80,60,63,86,57,72.66,1,Excellent,Healthcare,التمريض
75,91,54,87,75,71,61,85,80,74,54,66,59,75,85,58,72.29,3,Weak,Cybersecurity,الطب والجراحة
93,63,92,92,68,86,89,87,52,57,78,69,77,77,71,84,74.23,1,Average,Scientific Research,الفيزياء
60,55,60,75,79,99,80,43,70,50,75,68,64,53,87,82,64.77,2,Excellent,Business,نظم المعلومات الإدارية
73,99,56,77,87,70,75,72,80,75,79,86,63,65,79,77,75.47,2,Good,Healthcare,الصحة العامة
97,71,62,51,77,59,93,80,70,52,58,73,73,61,98,82,75.12,3,Good,Business,المحاسبة
89,56,98,76,71,76,77,63,60,89,56,76,62,70,84,87,70.58,3,Weak,Scientific Research,الفيزياء
84,83,61,93,70,77,76,53,86,57,90,63,66,80,63,63,74.91,1,Good,AI,الكيمياء
97,81,88,90,67,76,76,74,79,86,66,79,59,74,59,83,75.18,3,Excellent,Robotics,الهندسة الكهربائية
100,79,87,62,90,98,86,51,50,87,61,64,81,85,58,70,76.66,1,Good,Programming,هندسة الحاسب
89,74,91,94,66,78,90,79,88,73,57,67,53,72,60,66,75.53,2,Good,Accounting,الفيزياء
97,89,90,90,58,50,97,51,54,67,61,51,75,51,78,76,72.0,3,Weak,AI,الهندسة الصناعية
86,58,95,77,72,56,86,57,50,61,89,69,52,82,88,71,72.79,3,Excellent,Business,الرياضيات
93,70,91,69,67,62,100,74,83,50,82,75,70,88,95,65,76.98,3,Average,Engineering,الهندسة الصناعية
91,81,63,90,96,87,75,74,85,78,64,43,84,53,59,72,77.4,3,Excellent,Programming,تقنية المعلومات
98,77,84,62,63,53,82,89,83,68,81,82,64,88,88,84,81.98,1,Average,Scientific Research,الرياضيات
87,59,91,58,92,94,100,68,85,62,82,50,89,57,54,53,74.23,2,Good,Programming,هندسة البرمجيات
94,97,62,95,66,53,73,64,59,82,57,77,81,53,76,71,75.21,3,Good,Scientific Research,الصيدلة
82,79,90,81,96,80,86,62,69,71,89,93,58,77,95,87,76.71,2,Good,Business,إدارة الأعمال
93,59,94,67,77,100,98,68,62,50,85,69,77,84,68,87,79.56,3,Good,Cybersecurity,علوم الحاسب
74,97,62,77,99,51,89,78,72,77,67,64,83,60,58,52,71.1,3,Weak,Business,التمريض
78,45,53,67,90,69,89,73,67,59,87,86,85,54,90,51,68.16,3,Excellent,Business,إدارة الأعمال
44,85,69,89,89,82,79,60,70,78,85,60,74,89,85,61,77.96,1,Excellent,Healthcare,طب الأسنان
91,60,94,66,87,91,97,88,51,50,73,71,74,79,74,80,76.99,3,Excellent,Accounting,علوم الحاسب
58,77,87,78,77,82,87,98,62,51,75,95,73,62,90,73,75.52,2,Good,Law,القانون
69,64,87,40,99,69,79,79,85,72,70,86,76,54,92,85,81.15,3,Good,Marketing,التسويق
93,56,83,50,92,92,95,61,89,80,76,80,84,61,76,51,74.53,2,Average,Programming,الأمن السيبراني
99,90,95,76,84,94,98,82,52,80,50,76,73,64,57,88,77.73,3,Good,Data Analysis,الذكاء الاصطناعي
95,77,91,89,58,62,93,87,87,82,80,77,62,86,89,84,81.64,2,Good,Business,الهندسة الصناعية
89,64,92,65,75,88,94,89,78,89,85,65,89,61,77,54,80.48,1,Good,AI,الذكاء الاصطناعي
95,67,98,55,82,71,84,66,86,63,84,62,66,84,44,57,77.56,3,Average,Engineering,الهندسة المعمارية
89,100,89,93,78,69,71,89,60,63,78,86,90,60,63,79,76.5,1,Good,Scientific Research,الأحياء
76,89,81,95,82,77,63,54,79,71,51,72,63,54,71,80,73.04,2,Good,Data Analysis,الطب والجراحة
92,69,88,65,88,89,86,68,75,77,57,78,61,73,71,76,75.98,2,Average,Programming,الأمن السيبراني
91,66,88,53,89,88,86,56,72,72,77,56,74,61,89,71,74.03,3,Excellent,AI,علوم الحاسب
90,88,85,63,94,56,81,80,77,64,53,58,90,59,62,53,74.09,3,Good,Engineering,الهندسة المعمارية
70,62,81,76,85,74,77,69,68,70,63,89,64,76,87,83,76.39,3,Average,Business,إدارة الأعمال
94,75,87,88,65,59,99,75,58,50,83,88,75,62,91,42,76.72,3,Good,Engineering,الهندسة الصناعية
70,63,81,72,76,85,76,64,86,64,68,80,53,59,92,78,72.89,3,Weak,Business,نظم المعلومات الإدارية
92,94,40,95,77,71,82,52,59,69,67,69,73,76,71,79,72.95,3,Good,Scientific Research,الطب والجراحة
83,85,51,80,89,63,75,90,77,55,83,62,74,67,84,56,77.2,2,Good,Healthcare,التمريض
92,86,76,97,88,69,90,88,86,83,82,53,54,56,67,65,73.17,1,Average,Robotics,الصيدلة
79,99,88,81,82,73,63,87,59,77,88,73,65,89,79,66,77.84,1,Excellent,Scientific Research,الأحياء
89,52,51,83,85,86,95,69,74,75,82,61,53,90,79,70,76.33,3,Good,Programming,تقنية المعلومات
85,84,80,65,85,80,77,69,71,56,50,57,80,79,87,75,72.75,1,Good,Scientific Research,الرياضيات
68,57,76,69,92,88,77,52,77,75,90,89,62,72,91,64,79.78,1,Good,Business,إدارة الأعمال
65,72,53,88,96,82,80,53,71,69,87,89,81,86,77,80,76.39,2,Excellent,Business,التسويق
67,98,65,75,93,85,75,62,54,64,74,78,66,68,77,51,70.35,3,Weak,Healthcare,التمريض
72,71,62,53,88,100,91,78,82,67,88,77,81,55,97,70,74.5,2,Good,Programming,نظم المعلومات الإدارية
88,64,82,86,73,82,90,56,82,70,77,88,59,71,72,86,72.47,2,Average,Architecture,علم البيانات
99,51,75,54,84,88,91,56,63,77,84,73,51,67,64,65,69.02,2,Average,Accounting,الأمن السيبراني
87,80,85,66,85,88,100,67,62,53,57,62,52,81,83,58,74.9,3,Excellent,Cybersecurity,الأمن السيبراني
62,63,68,83,82,94,80,60,51,58,84,75,56,73,96,88,69.37,1,Weak,Business,نظم المعلومات الإدارية
68,81,53,76,98,77,80,87,89,75,80,78,86,56,94,56,80.62,2,Good,Business,إدارة الأعمال
87,65,60,90,92,81,94,55,82,60,64,86,85,84,76,64,80.25,3,Good,Business,التسويق
59,87,63,65,54,63,91,88,86,83,73,77,90,68,59,58,75.82,1,Good,Islamic Studies,الشريعة
75,95,76,99,75,59,57,89,81,52,80,55,56,58,78,59,69.26,1,Good,Robotics,الصيدلة
93,53,81,57,95,78,88,70,84,62,59,90,78,53,52,96,71.78,3,Excellent,AI,علم البيانات
98,83,87,53,84,87,77,86,81,78,68,79,54,55,77,82,75.53,3,Good,Robotics,هندسة الحاسب
88,83,56,62,88,97,95,66,72,87,77,89,54,54,58,63,73.0,2,Excellent,Cybersecurity,تقنية المعلومات
65,81,88,62,87,95,75,82,84,66,65,52,63,77,87,82,79.11,3,Excellent,Healthcare,نظم المعلومات الإدارية
89,90,80,89,80,68,74,70,55,52,50,55,80,63,67,55,70.85,2,Good,Scientific Research,الكيمياء
78,77,76,86,60,52,85,84,92,64,75,76,96,82,62,44,79.65,1,Good,Islamic Studies,الشريعة
51,55,50,90,94,86,84,65,78,78,62,87,54,84,90,71,78.55,3,Good,Marketing,التسويق
94,64,88,81,58,87,79,82,75,87,55,54,64,85,88,54,70.52,2,Average,Engineering,الهندسة الكهربائية
90,88,87,74,75,67,91,64,63,56,68,51,65,51,95,79,69.05,3,Excellent,Engineering,الهندسة الصناعية
69,75,55,88,99,92,79,72,57,88,65,72,79,64,75,57,78.9,1,Excellent,Programming,تقنية المعلومات
68,81,79,88,96,75,63,66,58,69,90,87,55,50,82,75,70.15,2,Excellent,AI,التسويق
74,94,82,92,75,56,74,77,60,75,81,40,50,76,58,81,76.94,1,Good,Scientific Research,الأحياء
97,88,98,88,83,86,76,53,60,66,64,62,88,53,46,50,72.39,3,Average,Scientific Research,الفيزياء
67,72,66,65,94,72,96,92,53,56,54,92,58,58,71,59,75.5,1,Excellent,Cybersecurity,القانون
95,90,93,60,86,89,93,83,60,62,65,78,47,87,54,76,79.23,3,Good,Programming,علوم الحاسب
99,86,74,74,84,89,97,55,77,87,82,57,90,81,89,77,78.3,3,Good,Programming,الأمن السيبراني
93,78,81,56,76,94,84,65,75,65,53,61,54,61,51,91,70.74,1,Excellent,AI,علم البيانات
53,98,50,55,91,53,82,83,52,67,73,93,78,87,87,68,76.42,1,Excellent,Healthcare,الصحة العامة
98,61,77,89,94,93,86,72,73,57,62,48,67,68,88,73,78.51,1,Good,Data Analysis,علوم الحاسب
98,67,86,59,69,53,86,50,69,53,60,80,79,56,84,55,73.88,3,Excellent,Business,الهندسة الصناعية
87,77,88,94,79,61,77,72,55,70,78,57,62,82,74,82,74.02,1,Excellent,Engineering,الهندسة الميكانيكية
91,67,80,73,88,78,88,88,62,81,87,51,56,65,56,54,75.67,1,Good,Programming,هندسة البرمجيات
73,92,87,76,80,78,84,64,74,81,71,95,53,62,50,59,72.52,3,Average,Engineering,الصحة العامة
80,88,74,92,89,79,58,82,88,88,50,73,80,51,71,63,74.53,2,Excellent,Scientific Research,الطب والجراحة
87,74,82,53,84,91,85,84,55,90,55,73,55,76,67,86,77.98,2,Excellent,Data Analysis,علم البيانات
91,89,88,58,85,92,76,59,55,84,90,55,51,51,59,75,75.26,3,Good,Programming,تقنية المعلومات
89,58,76,65,77,91,97,64,83,65,64,82,72,82,71,66,72.41,1,Average,Programming,الأمن السيبراني
85,63,84,80,90,68,85,78,85,82,77,74,61,77,81,54,80.26,3,Good,Business,الهندسة الصناعية
65,86,62,79,91,61,91,74,59,76,90,86,73,71,72,80,80.03,1,Average,Healthcare,الصحة العامة
92,67,79,83,75,89,98,83,49,63,65,79,58,70,63,88,77.01,3,Good,AI,علم البيانات
91,54,95,87,87,87,92,80,58,79,87,68,76,62,59,54,76.36,1,Good,Robotics,هندسة الحاسب
89,66,84,50,77,92,90,77,80,74,55,59,61,56,66,75,69.51,3,Good,Cybersecurity,الأمن السيبراني
96,63,88,56,79,89,75,88,68,59,88,51,66,84,54,57,69.15,1,Good,Programming,هندسة الحاسب
97,50,78,86,97,83,97,58,83,60,82,61,88,81,74,74,75.73,3,Excellent,AI,هندسة البرمجيات
68,80,75,53,80,90,93,54,68,71,86,63,57,69,98,79,75.06,2,Good,Marketing,نظم المعلومات الإدارية
97,56,89,59,83,86,85,76,81,90,70,65,88,54,52,69,71.77,3,Good,Programming,هندسة الحاسب
88,52,97,88,69,55,89,81,89,88,78,50,44,55,74,79,73.09,1,Excellent,Engineering,الفيزياء
94,70,83,85,58,67,83,65,61,75,68,79,72,59,86,74,75.74,1,Average,Scientific Research,الفيزياء
96,87,78,56,86,86,93,71,89,70,89,81,84,72,68,85,85.46,1,Good,Engineering,علوم الحاسب
66,93,70,70,75,75,92,88,68,85,70,92,54,52,81,76,80.46,2,Excellent,Accounting,الصحة العامة
75,75,61,61,92,93,76,88,83,55,86,69,69,70,65,56,68.78,3,Weak,Programming,تقنية المعلومات
85,88,80,52,83,86,97,85,71,63,59,84,84,62,79,51,74.45,3,Average,Data Analysis,الذكاء الاصطناعي
75,71,90,55,51,79,90,83,99,52,77,62,90,76,82,84,71.62,1,Weak,AI,الشريعة
92,71,87,56,100,77,96,82,50,62,65,90,52,65,88,76,77.07,2,Good,AI,هندسة البرمجيات
88,60,92,82,80,82,94,75,89,70,83,66,52,59,56,58,78.8,1,Average,Robotics,الهندسة الميكانيكية
96,89,99,53,86,52,77,68,55,71,81,83,55,55,86,52,72.6,3,Average,Programming,الهندسة المعمارية
55,88,56,53,84,59,85,72,65,63,82,99,51,67,44,81,73.34,1,Weak,Healthcare,الصحة العامة
86,57,88,90,63,84,87,80,63,68,54,73,53,60,82,77,68.8,3,Excellent,Scientific Research,الفيزياء
84,77,56,58,89,86,77,67,88,77,62,100,61,54,94,76,70.8,2,Average,Business,التسويق
88,72,62,72,78,69,97,91,58,61,72,91,69,79,84,79,75.52,1,Average,Business,القانون
77,90,76,66,91,100,94,69,80,79,53,79,57,64,90,78,78.88,3,Average,Cybersecurity,تقنية المعلومات
87,86,89,88,86,51,77,55,62,77,63,60,77,84,77,88,71.75,3,Average,Marketing,طب الأسنان
93,88,57,54,78,94,91,72,83,68,86,84,53,80,52,86,76.15,2,Excellent,Data Analysis,علم البيانات
73,85,56,51,50,54,76,77,88,57,90,73,87,62,75,76,69.32,2,Good,Islamic Studies,الشريعة
87,93,62,97,61,57,66,68,66,66,66,76,79,56,61,63,71.05,2,Excellent,Scientific Research,الكيمياء
88,69,53,83,87,93,86,59,55,82,85,55,83,83,83,65,79.04,2,Average,Cybersecurity,تقنية المعلومات
89,71,83,62,84,80,97,89,81,78,60,85,82,86,83,54,78.03,1,Excellent,Law,القانون
99,89,92,68,93,75,80,53,79,56,60,88,52,63,77,76,78.45,3,Good,Robotics,الهندسة المعمارية
94,82,78,60,75,79,83,62,70,89,76,76,75,55,84,50,71.71,2,Average,Business,الهندسة الصناعية
93,56,97,77,86,53,94,52,57,52,70,67,62,87,69,69,68.85,3,Good,Engineering,الهندسة الميكانيكية
93,73,86,73,90,69,86,51,79,77,86,85,63,57,78,86,73.17,2,Excellent,Programming,الهندسة الصناعية
72,74,87,62,98,78,75,86,59,65,81,92,75,61,85,62,75.23,3,Excellent,Engineering,إدارة الأعمال
95,88,77,60,84,68,83,88,82,56,71,77,52,65,97,77,77.97,3,Good,Business,المحاسبة
89,86,76,84,93,79,96,89,64,53,77,74,81,87,85,72,80.56,1,Excellent,Programming,هندسة البرمجيات
87,99,65,86,84,77,74,54,76,84,87,64,87,87,82,58,77.72,1,Average,Healthcare,الأحياء
85,89,51,84,80,61,59,64,72,54,70,64,81,71,69,55,65.15,2,Good,Engineering,الأحياء
95,67,77,85,68,73,86,65,77,71,69,79,65,78,62,72,72.54,3,Excellent,Scientific Research,الرياضيات
98,62,98,70,92,94,80,87,86,66,54,53,62,62,54,85,71.51,1,Average,AI,هندسة الحاسب
55,88,66,86,93,64,73,85,71,50,52,69,43,89,67,90,67.05,3,Excellent,Scientific Research,الأحياء
94,87,90,77,51,66,86,85,52,51,81,88,55,81,63,80,73.82,2,Excellent,Scientific Research,الفيزياء
92,63,90,85,60,82,77,84,77,50,80,75,52,83,54,52,68.51,1,Average,Healthcare,الهندسة الكهربائية
94,80,59,85,87,85,71,80,71,88,79,84,76,90,90,90,81.75,1,Average,Scientific Research,الصيدلة
80,90,83,96,76,84,87,79,59,74,65,71,77,56,53,85,71.75,3,Weak,Scientific Research,الكيمياء
75,67,89,76,96,89,80,83,64,90,67,79,88,84,62,69,77.66,2,Good,Programming,تقنية المعلومات
68,81,62,72,78,63,90,97,57,75,71,94,49,68,59,83,69.43,1,Good,Architecture,القانون
90,81,93,62,50,90,98,68,84,64,77,89,78,90,81,61,83.14,2,Good,Business,الهندسة الصناعية
85,57,94,78,71,61,84,77,59,65,80,71,88,83,91,50,72.04,2,Excellent,Business,الهندسة الصناعية
76,83,59,85,92,68,95,93,56,69,60,89,78,77,81,65,73.19,3,Weak,Law,القانون
86,90,67,77,84,77,84,63,83,57,87,80,60,77,73,81,74.95,1,Good,Cybersecurity,الطب والجراحة
82,66,60,77,87,50,94,90,57,66,69,77,64,69,64,75,71.22,1,Weak,AI,القانون
78,89,73,51,75,70,80,89,72,69,73,89,73,51,60,87,69.37,1,Weak,Healthcare,الصحة العامة
87,82,53,86,87,82,86,64,73,66,57,86,79,77,69,79,72.92,3,Good,Scientific Research,الكيمياء
78,82,79,88,95,86,99,99,75,78,85,75,55,57,50,80,78.67,3,Average,Law,القانون
86,75,90,85,97,77,99,75,89,51,54,81,68,70,82,68,82.21,1,Excellent,Programming,هندسة البرمجيات
85,80,76,74,91,96,91,82,66,89,90,87,88,75,78,89,82.23,3,Excellent,AI,الذكاء الاصطناعي
80,91,63,86,89,68,52,76,69,85,75,65,84,55,57,75,78.5,2,Excellent,Healthcare,الطب والجراحة
87,76,89,56,88,93,88,87,50,59,63,72,50,58,78,63,72.63,1,Average,Data Analysis,الذكاء الاصطناعي
57,96,84,91,76,87,61,88,54,62,87,89,76,50,73,77,75.81,3,Good,Scientific Research,الأحياء
74,79,50,89,95,82,92,51,75,83,80,87,55,81,76,61,73.07,1,Excellent,Business,التسويق
82,86,88,84,95,88,90,67,54,87,74,53,79,69,81,87,74.34,1,Excellent,Engineering,تقنية المعلومات
95,43,69,68,94,80,86,53,87,58,80,57,88,83,60,100,78.59,2,Good,Data Analysis,علم البيانات
78,88,89,90,76,86,81,64,89,73,54,51,51,51,57,72,69.97,2,Average,Healthcare,الطب والجراحة
93,59,98,93,89,85,89,73,86,87,67,61,63,80,69,84,81.53,2,Good,Scientific Research,الفيزياء
87,64,95,75,91,93,85,62,89,76,81,77,80,79,74,69,77.16,3,Excellent,AI,هندسة البرمجيات
96,66,85,77,51,81,83,61,62,51,64,54,72,87,66,58,69.6,1,Weak,Scientific Research,الفيزياء
90,57,78,61,99,80,85,53,79,71,66,56,55,67,64,78,76.3,2,Average,Programming,هندسة البرمجيات
83,86,83,87,80,76,40,63,75,55,68,76,86,83,77,90,79.09,2,Excellent,Healthcare,الصيدلة
71,70,68,54,81,80,86,97,84,62,74,91,58,70,67,51,73.43,1,Weak,Scientific Research,القانون
87,73,96,67,85,94,81,73,89,70,87,85,67,58,67,59,75.87,3,Excellent,Scientific Research,الهندسة الكهربائية
62,98,85,80,84,71,60,86,70,55,64,85,86,77,84,86,75.13,2,Average,Scientific Research,الأحياء
76,89,54,98,78,57,59,57,51,41,60,58,87,65,90,61,72.98,3,Weak,Healthcare,الطب والجراحة
97,84,97,74,88,61,85,79,55,85,50,72,65,50,84,80,78.64,1,Good,Architecture,الهندسة المعمارية
59,82,85,64,92,76,88,86,58,71,51,80,80,61,88,72,73.43,3,Good,Engineering,القانون
82,81,80,89,76,86,68,90,83,85,87,59,57,87,73,88,74.99,2,Weak,Scientific Research,الكيمياء
77,64,58,90,91,81,99,98,50,67,56,86,64,73,86,85,72.51,1,Excellent,Law,القانون
86,40,79,82,96,90,100,79,68,75,83,67,85,75,61,64,74.97,2,Weak,AI,هندسة البرمجيات
79,98,72,98,92,69,54,62,54,62,50,89,87,49,84,89,72.83,1,Weak,Scientific Research,الطب والجراحة
78,95,66,100,92,90,84,59,50,61,81,59,58,85,55,68,78.34,3,Good,Healthcare,طب الأسنان
53,97,51,78,87,89,83,78,74,79,59,51,81,84,40,84,70.35,3,Weak,Islamic Studies,التمريض
92,58,87,90,80,95,90,88,64,55,87,83,80,88,64,51,74.48,2,Excellent,Cybersecurity,الأمن السيبراني
88,62,82,87,76,94,84,56,67,69,86,86,90,54,60,88,76.96,1,Excellent,Programming,الأمن السيبراني
100,51,78,67,88,91,88,83,62,50,53,87,60,63,63,51,75.08,2,Good,Programming,علوم الحاسب
51,58,57,58,85,73,97,92,65,74,66,83,58,47,84,57,74.83,1,Average,Marketing,القانون
52,94,80,88,93,54,92,65,81,54,71,78,83,65,59,66,77.13,3,Good,Scientific Research,طب الأسنان
99,82,89,60,92,85,87,90,90,55,78,58,67,68,86,55,74.11,2,Good,Cybersecurity,الأمن السيبراني
70,62,89,65,91,62,87,89,83,86,68,77,55,69,91,68,78.05,3,Good,Business,إدارة الأعمال
79,59,88,87,93,80,84,80,56,84,81,87,68,87,98,50,83.46,3,Good,Business,إدارة الأعمال
95,60,93,53,77,88,93,83,61,87,74,52,82,70,77,81,76.03,3,Excellent,Data Analysis,الذكاء الاصطناعي
90,82,87,83,93,91,80,78,53,70,81,82,46,56,52,79,76.75,1,Excellent,Robotics,هندسة الحاسب
87,70,84,70,88,89,94,63,78,84,87,65,50,86,82,58,79.77,1,Average,AI,علوم الحاسب
78,62,65,85,92,77,79,62,73,77,58,84,50,54,76,57,74.02,2,Excellent,Business,إدارة الأعمال
70,97,87,53,83,67,89,84,62,81,65,98,72,87,71,75,73.7,1,Excellent,AI,الصحة العامة
89,69,75,85,82,99,89,67,64,55,56,90,78,55,66,75,74.02,2,Weak,Data Analysis,علوم الحاسب
94,68,100,72,61,75,88,59,64,56,72,78,53,64,87,61,73.09,1,Average,Robotics,الهندسة الكهربائية
85,63,84,70,87,87,91,60,69,62,77,76,54,50,66,89,71.34,3,Good,AI,هندسة البرمجيات
96,54,86,50,86,85,84,76,74,51,85,90,87,52,74,54,75.51,1,Average,Marketing,هندسة الحاسب
69,62,84,75,88,69,92,79,65,50,73,93,89,65,92,67,75.46,1,Good,Marketing,التسويق
87,68,64,76,50,77,88,83,95,84,70,64,88,72,90,69,79.95,1,Good,Islamic Studies,الشريعة
92,67,54,71,76,78,92,52,59,82,73,74,52,63,67,89,69.66,2,Weak,Data Analysis,علم البيانات
85,85,84,70,77,96,85,54,67,53,58,68,50,59,70,54,70.54,3,Excellent,Data Analysis,الذكاء الاصطناعي
94,90,92,81,56,89,77,59,85,87,72,63,57,69,68,75,74.17,3,Excellent,Robotics,الهندسة الكهربائية
94,68,88,55,81,98,95,57,62,60,60,76,68,57,79,58,75.42,1,Excellent,AI,الذكاء الاصطناعي
91,83,77,53,85,87,92,88,50,55,62,69,68,57,76,66,73.83,3,Excellent,Programming,الأمن السيبراني
90,79,94,75,70,90,85,79,87,69,90,81,70,71,76,50,81.68,3,Good,Engineering,الهندسة الصناعية
85,88,88,74,88,95,90,85,89,55,87,55,78,69,64,96,80.94,3,Good,Data Analysis,علم البيانات
87,59,82,74,75,81,100,89,57,55,56,67,88,71,72,51,77.76,1,Good,Data Analysis,الذكاء الاصطناعي
74,91,76,84,94,59,71,78,57,86,80,67,73,61,57,73,74.23,1,Excellent,Architecture,الأحياء
79,99,74,95,88,88,71,76,73,50,69,82,75,43,86,89,75.58,1,Good,Scientific Research,الطب والجراحة
52,91,85,93,88,58,75,77,51,75,75,43,80,57,61,87,69.32,1,Average,Healthcare,طب الأسنان
85,53,100,87,87,95,81,61,68,53,51,75,83,88,87,75,78.18,1,Good,Robotics,هندسة الحاسب
55,85,76,96,90,76,85,62,51,78,57,68,56,75,69,61,73.59,1,Weak,Healthcare,طب الأسنان
93,73,75,72,71,87,79,68,55,67,70,63,58,67,63,83,67.32,1,Weak,Engineering,الهندسة الكهربائية
86,74,90,60,80,80,93,82,80,88,71,79,51,60,79,83,78.38,1,Average,Engineering,الهندسة المعمارية
79,75,61,55,52,61,91,79,74,72,53,51,92,57,55,77,71.17,2,Excellent,Islamic Studies,الشريعة
96,48,89,75,68,76,88,67,72,74,56,65,78,72,82,81,77.73,2,Excellent,Business,الهندسة الصناعية
97,55,89,60,78,89,93,52,58,52,78,84,59,58,79,76,75.52,1,Average,Cybersecurity,الأمن السيبراني
93,78,96,56,90,67,92,66,64,56,53,63,89,64,69,62,68.59,3,Good,Engineering,الهندسة المعمارية
100,53,90,73,82,87,87,73,65,83,65,55,66,73,41,90,72.1,2,Good,Islamic Studies,الذكاء الاصطناعي
87,51,92,80,58,58,80,80,85,62,64,80,60,82,82,62,77.26,2,Average,Robotics,الهندسة الميكانيكية
91,91,73,86,82,81,57,71,55,79,71,82,87,50,50,65,78.82,3,Good,Scientific Research,الكيمياء
93,54,94,88,62,78,87,83,76,72,73,63,87,54,52,66,73.91,2,Weak,Scientific Research,الفيزياء
79,90,66,80,91,88,83,75,58,53,73,87,87,57,51,64,72.07,2,Excellent,Marketing,تقنية المعلومات
84,63,88,73,94,77,93,50,54,81,73,94,85,53,88,71,81.43,3,Average,Architecture,التسويق
90,83,80,88,91,92,94,74,79,89,66,75,81,75,72,54,76.76,1,Excellent,AI,علوم الحاسب
86,89,89,93,87,66,59,86,73,87,61,50,86,75,90,81,79.6,3,Excellent,Scientific Research,الكيمياء
91,73,95,80,78,63,87,52,75,77,88,84,51,58,85,76,80.29,1,Average,Scientific Research,الفيزياء
83,88,82,88,84,73,77,69,80,59,61,79,68,78,74,50,79.92,1,Excellent,Scientific Research,الصيدلة
93,73,55,86,90,95,80,66,58,55,67,74,87,72,82,90,78.69,3,Excellent,Programming,تقنية المعلومات
77,53,63,60,86,50,77,75,90,80,53,73,96,87,84,67,76.58,1,Good,Islamic Studies,الشريعة
